标题： 【资源帖】生活大爆炸1-11季 高青完整版～中英字～2楼取 	 链接：http://tieba.baidu.com//p/5567712617 	 发帖人：掰nice 	 发帖时间：2-26 	 回复数量： 0 
标题： 【资源帖】生活大爆炸1-11季 高青完整版～中英字～2楼取 	 链接：http://tieba.baidu.com//p/5567724992 	 发帖人：KAP夜生活 	 发帖时间：2-26 	 回复数量： 0 
标题： 为什么总觉得爱情公寓和生活大爆炸很像，有中国版的生活大爆炸吗 	 链接：http://tieba.baidu.com//p/5524502797 	 发帖人：我不是湿人 	 发帖时间：1-22 	 回复数量： 26 
标题： 惊了！谢尔顿居然没坐在他的专座上！ 	 链接：http://tieba.baidu.com//p/5551044576 	 发帖人：太宰疲 	 发帖时间：2-13 	 回复数量： 3 
标题： 生活大爆炸ｾ血路狂飙ﾤ天赋异禀卫❤【syz91966】 	 链接：http://tieba.baidu.com//p/5570481331 	 发帖人：安妮爱大熊 	 发帖时间：17:34 	 回复数量： 0 
标题： 一起来涨姿势吧，生活大爆炸每一集知识详解 	 链接：http://tieba.baidu.com//p/4664329650 	 发帖人：幽寒淡冷 	 发帖时间：2016-07 	 回复数量： 1290 
标题： 找个笔友   不见面的那种…不聊微信不聊扣扣的那种 	 链接：http://tieba.baidu.com//p/5548893747 	 发帖人：梨梨梨啊 	 发帖时间：2-11 	 回复数量： 40 
标题： 生活大爆炸合集要的看楼下 	 链接：http://tieba.baidu.com//p/5570495109 	 发帖人：城花祭泪... 	 发帖时间：17:44 	 回复数量： 1 
标题： 我的爱好是数学和英语，数学老师和英语老师非常喜欢我，特别是数 	 链接：http://tieba.baidu.com//p/5570481867 	 发帖人：南尚乐的... 	 发帖时间：17:35 	 回复数量： 0 
标题： 【TBBT】《生活大爆炸》第十季熟肉 	 链接：http://tieba.baidu.com//p/5546422491 	 发帖人：玺子 	 发帖时间：2-9 	 回复数量： 98 
标题： 大学英语老师强力推荐的，学英语必备，最喜欢谢耳朵 	 链接：http://tieba.baidu.com//p/5553486567 	 发帖人：小排骨的嘛 	 发帖时间：2-15 	 回复数量： 21 
标题： 【置顶】开学在即，生活大爆炸学习专用版出炉！ 	 链接：http://tieba.baidu.com//p/5570231379 	 发帖人：我骅_ 	 发帖时间：14:50 	 回复数量： 5 
标题： 不知不觉，生活大爆炸已经伴随我们十一个年头了！以后几位主角的 	 链接：http://tieba.baidu.com//p/5570220742 	 发帖人：zxl2144 	 发帖时间：14:43 	 回复数量： 3 
标题： 生活大爆炸测试题，你能撑到第几题？ 	 链接：http://tieba.baidu.com//p/5565359914 	 发帖人：是你的辣... 	 发帖时间：2-25 	 回复数量： 34 
标题： 这是第几季第几集啊让我先笑会儿 	 链接：http://tieba.baidu.com//p/5569256381 	 发帖人：Holy 	 发帖时间：2-27 	 回复数量： 4 
标题： 【TBBT】S09E24熟肉+集中讨论帖(S09季终) 	 链接：http://tieba.baidu.com//p/4544926749 	 发帖人：将轨 	 发帖时间：2016-05 	 回复数量： 310 
标题： 五年后，我和谢耳朵一样是理论物理学家。 	 链接：http://tieba.baidu.com//p/2295238901 	 发帖人：伤而不腻 	 发帖时间：2013-04 	 回复数量： 69 
标题： 我也曾笃信不移，她是一颗充满魔力的果实，当你无法抵挡她的诱惑 	 链接：http://tieba.baidu.com//p/5570377232 	 发帖人：why00002008 	 发帖时间：16:25 	 回复数量： 0 
标题： 生活大爆炸5E10    看我发现了什么！！ 	 链接：http://tieba.baidu.com//p/5261628688 	 发帖人：超级忐忐... 	 发帖时间：2017-08 	 回复数量： 1 
标题： 为什么这么多广告？！ 	 链接：http://tieba.baidu.com//p/5570290833 	 发帖人：莆苏 	 发帖时间：15:29 	 回复数量： 0 
标题： 11季最后的结局预测？大爆炸十一季即将结束，将会有什么样的结 	 链接：http://tieba.baidu.com//p/5568541132 	 发帖人：zxl2144 	 发帖时间：2-27 	 回复数量： 5 
标题： 生活大爆炸第十季11集看哭了 	 链接：http://tieba.baidu.com//p/4902827203 	 发帖人：pc826 	 发帖时间：2016-12 	 回复数量： 45 
标题： 讨论帖 raj的几个女朋友你喜欢谁 	 链接：http://tieba.baidu.com//p/4966911202 	 发帖人：A溺于深海 	 发帖时间：2017-02 	 回复数量： 171 
标题： 这是第几季？第几集？ 	 链接：http://tieba.baidu.com//p/5569268317 	 发帖人：Holy 	 发帖时间：2-27 	 回复数量： 8 
标题： 希望我能把一天的好运气都给你！！！ 	 链接：http://tieba.baidu.com//p/5570035755 	 发帖人：jgsajj 	 发帖时间：12:30 	 回复数量： 0 
标题： 谢尔顿讲黄笑话哈哈哈哈，对艾米的诱惑真的这么大吗 	 链接：http://tieba.baidu.com//p/5550031261 	 发帖人：hey借个微笑 	 发帖时间：2-12 	 回复数量： 2 
标题： 【TBBT】S11E15熟肉 	 链接：http://tieba.baidu.com//p/5545708275 	 发帖人：玺子 	 发帖时间：2-8 	 回复数量： 22 
标题： 有人知道tbbt里面谢耳朵家里的白板和那个支架在哪里有同款卖 	 链接：http://tieba.baidu.com//p/5569871484 	 发帖人：熊瘾宝宝 	 发帖时间：10:31 	 回复数量： 0 
标题： 开个新帖，从今天起，更新爆炸主创们的ins 	 链接：http://tieba.baidu.com//p/5544333608 	 发帖人：宇智波谢... 	 发帖时间：2-7 	 回复数量： 84 
标题： 不知道大伙有没有这种疑问，剧中演员的片酬是多少，一年中工作小 	 链接：http://tieba.baidu.com//p/5566579158 	 发帖人：紫荆星竹 	 发帖时间：2-26 	 回复数量： 2 
标题： 谢耳朵结婚了 	 链接：http://tieba.baidu.com//p/5118732401 	 发帖人：初难追 	 发帖时间：2017-05 	 回复数量： 48 
标题： 我也很喜欢这九月里的阳光，不再那么羞涩和吝啬，在你的窗前一掠 	 链接：http://tieba.baidu.com//p/5569044024 	 发帖人：kaiyuozhe41 	 发帖时间：2-27 	 回复数量： 0 
标题： 《生活大爆炸》漫画！大爱《生活大爆炸》，特别是谢耳朵，终于有 	 链接：http://tieba.baidu.com//p/5565953656 	 发帖人：爷给跪小号 	 发帖时间：2-25 	 回复数量： 22 
标题： Howard父亲的信，Bernadette说的才是真的，你怎么看？ 	 链接：http://tieba.baidu.com//p/2227788459 	 发帖人：Season_of_笔 	 发帖时间：2013-05 	 回复数量： 45 
